_id,ObjectId,ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
1628,1628,2019,D41,Crimes Against Property,Break & Enter-Other,39,16
1629,1629,2019,D41,Crimes Against Property,Fraud,680,116
1630,1630,2019,D41,Crimes Against Property,Other,852,301
1631,1631,2019,D41,Crimes Against Property,Theft Over $5000,63,9
1632,1632,2019,D41,Crimes Against Property,Theft Under $5000,3272,1301
1633,1633,2019,D41,Crimes Against the Person,Assault,1390,880
1634,1634,2019,D41,Crimes Against the Person,Attempt Murder,2,2
1635,1635,2019,D41,Crimes Against the Person,Other,314,193
1636,1636,2019,D41,Crimes Against the Person,Robbery-Financial,3,0
1637,1637,2019,D41,Crimes Against the Person,Robbery-Other,197,84
1638,1638,2019,D41,Crimes Against the Person,Sexual Violation,186,97
1639,1639,2019,D41,Criminal Code Traffic,Other,136,127
1640,1640,2019,D41,Other Criminal Code Violations,Other,1389,1285
1641,1641,2019,D41,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,134,118
1642,1642,2019,D41,Other Federal Statute Violations,Other,11,10
1643,1643,2019,D42,Controlled Drugs and Substances Act,Other,31,28
1644,1644,2019,D42,Crimes Against Property,Auto Theft,442,45
1645,1645,2019,D42,Crimes Against Property,Break & Enter-Apartment,59,8
1646,1646,2019,D42,Crimes Against Property,Break & Enter-Commercial,199,68
1647,1647,2019,D42,Crimes Against Property,Break & Enter-House,327,12
1648,1648,2019,D42,Crimes Against Property,Break & Enter-Other,11,1
1649,1649,2019,D42,Crimes Against Property,Fraud,757,79
1650,1650,2019,D42,Crimes Against Property,Other,676,167
1651,1651,2019,D51,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,259,228
1652,1652,2018,D53,Criminal Code Traffic,Other,63,59
1653,1653,2019,D42,Crimes Against Property,Theft Over $5000,72,11
1654,1654,2019,D42,Crimes Against Property,Theft Under $5000,2298,608
1655,1655,2019,D42,Crimes Against the Person,Assault,1038,675
1656,1656,2019,D42,Crimes Against the Person,Attempt Murder,6,4
1657,1657,2019,D42,Crimes Against the Person,Other,238,126
1658,1658,2019,D42,Crimes Against the Person,Robbery-Financial,5,3
1659,1659,2019,D42,Crimes Against the Person,Robbery-Other,245,91
1660,1660,2019,D42,Crimes Against the Person,Sexual Violation,142,73
1661,1661,2019,D42,Criminal Code Traffic,Other,177,172
1662,1662,2019,D42,Other Criminal Code Violations,Other,424,369
1663,1663,2019,D42,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,57,50
1664,1664,2019,D42,Other Federal Statute Violations,Other,16,15
1665,1665,2019,D43,Controlled Drugs and Substances Act,Other,100,91
1666,1666,2019,D43,Crimes Against Property,Auto Theft,268,39
1667,1667,2019,D43,Crimes Against Property,Break & Enter-Apartment,98,37
1668,1668,2019,D43,Crimes Against Property,Break & Enter-Commercial,156,56
1669,1669,2019,D43,Crimes Against Property,Break & Enter-House,131,33
1670,1670,2019,D43,Crimes Against Property,Break & Enter-Other,31,15
1671,1671,2019,D43,Crimes Against Property,Fraud,804,91
1672,1672,2019,D43,Crimes Against Property,Other,843,378
1673,1673,2019,D43,Crimes Against Property,Theft Over $5000,38,5
1674,1674,2019,D43,Crimes Against Property,Theft Under $5000,2730,1067
1675,1675,2019,D43,Crimes Against the Person,Assault,1616,1159
1676,1676,2019,D43,Crimes Against the Person,Attempt Murder,14,8
1677,1677,2019,D43,Crimes Against the Person,Other,386,251
1678,1678,2019,D43,Crimes Against the Person,Robbery-Financial,4,4
1679,1679,2019,D43,Crimes Against the Person,Robbery-Other,247,116
1680,1680,2019,D43,Crimes Against the Person,Sexual Violation,188,121
1681,1681,2019,D43,Criminal Code Traffic,Other,152,145
1682,1682,2019,D43,Other Criminal Code Violations,Other,1109,1028
1683,1683,2019,D43,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,174,159
1684,1684,2019,D43,Other Federal Statute Violations,Other,11,11
1685,1685,2019,D51,Controlled Drugs and Substances Act,Other,314,304
1686,1686,2019,D51,Crimes Against Property,Auto Theft,201,45
1687,1687,2019,D51,Crimes Against Property,Break & Enter-Apartment,380,109
1688,1688,2019,D51,Crimes Against Property,Break & Enter-Commercial,351,64
1689,1689,2019,D51,Crimes Against Property,Break & Enter-House,65,11
1690,1690,2019,D51,Crimes Against Property,Break & Enter-Other,68,24
1691,1691,2019,D51,Crimes Against Property,Fraud,1115,98
1692,1692,2018,D53,Other Criminal Code Violations,Other,436,376
1693,1693,2019,D51,Crimes Against Property,Other,1640,542
1694,1694,2019,D51,Other Federal Statute Violations,Other,26,25
1695,1695,2018,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,61,49
1696,1696,2019,D51,Crimes Against Property,Theft Over $5000,115,25
1697,1697,2019,D52,Controlled Drugs and Substances Act,Other,154,144
1698,1698,2018,D53,Other Federal Statute Violations,Other,5,4
1699,1699,2018,D54/D55,Controlled Drugs and Substances Act,Other,234,221
1700,1700,2018,D54/D55,Crimes Against Property,Auto Theft,266,53
1701,1701,2018,D54/D55,Crimes Against Property,Break & Enter-Apartment,175,51
1702,1702,2018,D54/D55,Crimes Against Property,Break & Enter-Commercial,170,63
1703,1703,2018,D54/D55,Crimes Against Property,Break & Enter-House,156,39
1704,1704,2018,D54/D55,Crimes Against Property,Break & Enter-Other,51,14
1705,1705,2018,D54/D55,Crimes Against Property,Fraud,747,129
1706,1706,2018,D54/D55,Crimes Against Property,Other,1347,582
1707,1707,2018,D54/D55,Crimes Against Property,Theft Over $5000,78,16
1708,1708,2018,D54/D55,Crimes Against Property,Theft Under $5000,4770,1115
1709,1709,2018,D54/D55,Crimes Against the Person,Assault,1514,1018
1710,1710,2018,D54/D55,Crimes Against the Person,Attempt Murder,10,6
1711,1711,2018,D54/D55,Crimes Against the Person,Other,434,251
